code_prefix,axis,concept_iri,level,scheme,code_title,rationale,confidence,status
H01L21/66,process,https://w3id.org/sdkb/data/process/metrology,process,IPC,Testing or measuring during manufacture,제조 중 측정(구 분류),high,author-defined
G01N21/95,process,https://w3id.org/sdkb/data/process/metrology,process,IPC,Investigating materials — surface/defect inspection,웨이퍼 결함 검사,high,author-defined
G01B11,process,https://w3id.org/sdkb/data/process/metrology,process,IPC,Optical measuring of dimensions,광학 치수 계측(CD). 반도체 외 분야 포함,medium,author-defined
H10P14,process,https://w3id.org/sdkb/data/process/deposition,process,CPC-2026.01,"Formation of materials, e.g. in the shape of layers or pillars",층 형성 일반 — 구 H01L21/02 계열의 후속,high,author-defined
H10P14/24,process,https://w3id.org/sdkb/data/subprocess/cvd,subprocess,CPC-2026.01,using chemical vapour deposition [CVD],CVD 명시,high,author-defined
H10P14/43,process,https://w3id.org/sdkb/data/subprocess/cvd,subprocess,CPC-2026.01,"Chemical deposition, e.g. chemical vapour deposition [CVD]",절연막 CVD,high,author-defined
H10P14/6336,process,https://w3id.org/sdkb/data/subprocess/cvd,subprocess,CPC-2026.01,{in the presence of a plasma [PECVD]},PECVD 는 CVD 의 하위,high,author-defined
H10P14/22,process,https://w3id.org/sdkb/data/subprocess/pvd,subprocess,CPC-2026.01,"using physical deposition, e.g. vacuum deposition or sputtering",물리 증착(진공증착·스퍼터),high,author-defined
H10P14/44,process,https://w3id.org/sdkb/data/subprocess/pvd,subprocess,CPC-2026.01,Physical vapour deposition [PVD],PVD 명시,high,author-defined
H10P14/45,process,https://w3id.org/sdkb/data/subprocess/pvd,subprocess,CPC-2026.01,Sputtering,스퍼터링,high,author-defined
H10P14/6339,process,https://w3id.org/sdkb/data/subprocess/ald,subprocess,CPC-2026.01,"{deposition by cyclic CVD, e.g. ALD, ALE or pulsed CVD}",cyclic CVD = ALD 명시,high,author-defined
H10P14/6304,process,https://w3id.org/sdkb/data/subprocess/oxidation,subprocess,CPC-2026.01,"{Formation by oxidation, e.g. oxidation of the substrate}",기판 산화 — SemiKong 2.1 Oxidation,high,author-defined
H10P14/6349,process,https://w3id.org/sdkb/data/subprocess/epitaxial_growth,subprocess,CPC-2026.01,{Deposition of epitaxial materials},에피 증착 — SemiKong 2.3,high,author-defined
H10P30,process,https://w3id.org/sdkb/data/process/implant,process,CPC-2026.01,"Ion implantation into wafers, substrates or parts of devices",이온주입 명시,high,author-defined
H10P30/28,process,https://w3id.org/sdkb/data/subprocess/dopant_activation,subprocess,CPC-2026.01,"characterised by an annealing step, e.g. for activation of dopants",도판트 활성화 어닐 — SemiKong 7.3,high,author-defined
H10P32,process,https://w3id.org/sdkb/data/process/diffusion,process,CPC-2026.01,"Diffusion of dopants within, into or out of wafers, substrates or parts of devices (during formation of materials H10P 14/00)",확산 명시,high,author-defined
H10P34,process,https://w3id.org/sdkb/data/process/diffusion,process,CPC-2026.01,"Irradiation with electromagnetic or particle radiation of wafers, substrates or parts of devices",조사(레이저 어닐 포함) — Diffusion/Anneal 정의에 포함,medium,author-defined
H10P95/90,process,https://w3id.org/sdkb/data/subprocess/annealing,subprocess,CPC-2026.01,"Thermal treatments, e.g. annealing or sintering",열처리·어닐 — SemiKong 7.1,high,author-defined
H10P50,process,https://w3id.org/sdkb/data/process/etch,process,CPC-2026.01,"Etching of wafers, substrates or parts of devices",식각 일반 — 건식/습식 미분화이므로 상위 Process,high,author-defined
H10P50/20,process,https://w3id.org/sdkb/data/subprocess/plasma_etch,subprocess,CPC-2026.01,Dry etching; Plasma etching; Reactive-ion etching,건식·플라즈마·RIE 명시,high,author-defined
H10P50/60,process,https://w3id.org/sdkb/data/subprocess/wet_etch,subprocess,CPC-2026.01,Wet etching,습식 식각 명시,high,author-defined
H10P52,process,https://w3id.org/sdkb/data/process/cmp,process,CPC-2026.01,"Grinding, lapping or polishing of wafers, substrates or parts of devices",연마 일반. 백그라인딩(웨이퍼 박막화)도 포함하므로 오분류 위험,medium,author-defined
H10P52/40,process,https://w3id.org/sdkb/data/process/cmp,process,CPC-2026.01,Chemomechanical polishing [CMP] (electrochemical mechanical polishing H10P 52/20),CMP 명시,high,author-defined
H10P52/403,process,https://w3id.org/sdkb/data/subprocess/cmp_metal,subprocess,CPC-2026.01,{of conductive or resistive materials},도전막 CMP,high,author-defined
H10P52/407,process,https://w3id.org/sdkb/data/subprocess/cmp_oxide,subprocess,CPC-2026.01,{of inorganic insulating materials},절연막 CMP,high,author-defined
H10P95/04,process,https://w3id.org/sdkb/data/subprocess/cmp_metal,subprocess,CPC-2026.01,{Planarisation of conductive or resistive materials},도전막 평탄화,medium,author-defined
H10P70,process,https://w3id.org/sdkb/data/process/clean,process,CPC-2026.01,"Cleaning of wafers, substrates or parts of devices",세정 명시,high,author-defined
H10P70/12,process,https://w3id.org/sdkb/data/subprocess/dry_cleaning,subprocess,CPC-2026.01,{by dry cleaning only (H10P 70/52 takes precedence)},건식 세정 — SemiKong 6.2,high,author-defined
H10P70/15,process,https://w3id.org/sdkb/data/subprocess/wet_cleaning,subprocess,CPC-2026.01,{by wet cleaning only (H10P 70/52 takes precedence)},습식 세정 — SemiKong 6.1,high,author-defined
H10P70/80,process,https://w3id.org/sdkb/data/subprocess/advanced_cleaning,subprocess,CPC-2026.01,{Cleaning only by supercritical fluids},초임계 유체 세정 — SemiKong 6.3,high,author-defined
H10P74,process,https://w3id.org/sdkb/data/process/metrology,process,CPC-2026.01,"Testing or measuring during manufacture or treatment of wafers, substrates or devices",제조 중 검사·계측 — 구 H01L22 의 후속,high,author-defined
H10P72/06,process,https://w3id.org/sdkb/data/process/metrology,process,CPC-2026.01,"{Apparatus for monitoring, sorting, marking, testing or measuring}",모니터링·측정 장비. 소팅·마킹도 포함해 오분류 위험,medium,author-defined
H10P76,process,https://w3id.org/sdkb/data/process/lithography,process,CPC-2026.01,"Manufacture or treatment of masks on semiconductor bodies, e.g. by lithography or photolithography",반도체 기판상 마스크 제조(리소그래피) — 구 H01L21/027 의 후속,high,author-defined
H10P10,process,https://w3id.org/sdkb/data/process/back_end,process,CPC-2026.01,"Bonding of wafers, substrates or parts of devices",웨이퍼 본딩. 3D 집적·SOI 형성 등 용도가 갈려 모듈을 특정할 수 없어 그룹으로,medium,author-defined
H10P54,process,https://w3id.org/sdkb/data/subprocess/dicing,subprocess,CPC-2026.01,"Cutting or separating of wafers, substrates or parts of devices",절단·분리 — SemiKong 10.7 Dicing,high,author-defined
H10P58,process,https://w3id.org/sdkb/data/subprocess/dicing,subprocess,CPC-2026.01,"Singulating wafers or substrates into multiple chips, i.e. dicing",싱귤레이션 = 다이싱 명시,high,author-defined
H10P56,process,https://w3id.org/sdkb/data/process/back_end,process,CPC-2026.01,"Debonding of wafers, substrates or parts of devices",디본딩 — 후공정이나 대응 모듈 없음,medium,author-defined
H01L21/56,process,https://w3id.org/sdkb/data/subprocess/packaging,subprocess,IPC,"Encapsulations, e.g. encapsulation layers, coatings",봉지(encapsulation) — SemiKong 10.8 Packaging,high,author-defined
C23F1,process,https://w3id.org/sdkb/data/subprocess/wet_etch,subprocess,CPC-2026.01,Etching metallic material by chemical means (manufacture of printing surfaces B41C; manufacture of printed circuits H05K),금속 화학 식각 = 습식 식각,high,author-defined
H05H1,process,https://w3id.org/sdkb/data/subprocess/plasma_etch,subprocess,CPC-2026.01,Generating plasma; Handling plasma,플라즈마 발생. 식각 외 용도도 있어 오분류 위험,medium,author-defined
H10B10,device,https://w3id.org/sdkb/data/device/sram,device,CPC-2026.01,Static random access memory [SRAM] devices,코드 정의가 곧 소자,high,author-defined
H10B12,device,https://w3id.org/sdkb/data/device/dram,device,CPC-2026.01,Dynamic random access memory [DRAM] devices,코드 정의가 곧 소자,high,author-defined
H10B41,device,https://w3id.org/sdkb/data/device/eeprom,device,CPC-2026.01,Electrically erasable-and-programmable ROM [EEPROM] devices comprising floating gates,부동게이트 EEPROM,high,author-defined
H10B43,device,https://w3id.org/sdkb/data/device/eeprom,device,CPC-2026.01,EEPROM devices comprising charge-trapping gate insulators,전하트랩형 EEPROM,high,author-defined
H10B43/27,device,https://w3id.org/sdkb/data/device/3d_nand,device,CPC-2026.01,"the channels comprising vertical portions, e.g. U-shaped channels",수직 채널 = 3D NAND 구조,high,author-defined
H10B51,device,https://w3id.org/sdkb/data/device/feram,device,CPC-2026.01,Ferroelectric RAM [FeRAM] devices comprising ferroelectric memory transistors,FeRAM 명시,high,author-defined
H10B53,device,https://w3id.org/sdkb/data/device/feram,device,CPC-2026.01,Ferroelectric RAM [FeRAM] devices comprising ferroelectric memory capacitors,FeRAM 명시,high,author-defined
H10B61,device,https://w3id.org/sdkb/data/device/mram,device,CPC-2026.01,"Magnetic memory devices, e.g. magnetoresistive RAM [MRAM] devices",MRAM 명시,high,author-defined
H10B63,device,https://w3id.org/sdkb/data/device/reram,device,CPC-2026.01,"Resistance change memory devices, e.g. resistive RAM [ReRAM] devices",ReRAM 명시,high,author-defined
H10B69,device,https://w3id.org/sdkb/data/device/eprom,device,CPC-2026.01,"Erasable-and-programmable ROM [EPROM] devices not provided for in groups H10B 41/00 - H10B 63/00, e.g. ultraviolet erasable-and-programmable ROM [UVEPROM] devices",EPROM 명시(41–63 에 없는 잔여군),high,author-defined
H10D8,device,https://w3id.org/sdkb/data/device/diode,device,CPC-2026.01,Diodes (variable-capacitance diodes H10D 1/64; gated diodes H10D 12/00),다이오드 명시,high,author-defined
H10D10,device,https://w3id.org/sdkb/data/device/bjt,device,CPC-2026.01,Bipolar junction transistors [BJT],BJT 명시,high,author-defined
H10D12,device,https://w3id.org/sdkb/data/device/igbt,device,CPC-2026.01,"Bipolar devices controlled by the field effect, e.g. insulated-gate bipolar transistors [IGBT]",IGBT 명시,high,author-defined
H10D18,device,https://w3id.org/sdkb/data/device/thyristor,device,CPC-2026.01,Thyristors,사이리스터 명시,high,author-defined
H10D30/60,device,https://w3id.org/sdkb/data/device/mosfet,device,CPC-2026.01,Insulated-gate field-effect transistors [IGFET] (H10D 30/40 takes precedence),"IGFET = 절연게이트 FET, 실무상 MOSFET",medium,author-defined
H10D30/68,device,https://w3id.org/sdkb/data/device/eeprom,device,CPC-2026.01,Floating-gate IGFETs,부동게이트 IGFET = 플래시/EEPROM 셀,medium,author-defined
G11C11/15,device,https://w3id.org/sdkb/data/device/mram,device,CPC-2026.01,using multiple magnetic layers (G11C 11/155 takes precedence),다층 자성막 기억소자 = MRAM,medium,author-defined
G11C16,device,https://w3id.org/sdkb/data/device/eprom,device,CPC-2026.01,Erasable programmable read-only memories (G11C 14/00 takes precedence),소거가능 프로그래머블 ROM,medium,author-defined
H01L21/8247,device,https://w3id.org/sdkb/data/device/eprom,device,IPC-2013,Manufacture or treatment of devices consisting of a plurality of solid state components — memory structures — read-only memory structures — electrically-programmable [EPROM],(폐지 코드) ROM 구조 중 electrically-programmable = EPROM 제조,high,author-defined
H01L27/108,device,https://w3id.org/sdkb/data/device/dram,device,IPC-2013,Dynamic random access memory structures,(폐지 코드) DRAM 구조,high,author-defined
